room,sampler,sample,virus,unique_reads,total_reads,start,end,elapsed_hhmm,sc2_status
Equipment room,Sharpova,IB000010006678_S61_L001,Merkel cell polyomavirus,8,141,7/3 21:10,7/4 22:02,24:52,SC2 N/A
Equipment room,Sharpova,IB000010006678_S61_L001,MW polyomavirus,2,17,7/3 21:10,7/4 22:02,24:52,SC2 N/A
Equipment room,Sharpova,IB000010006678_S61_L001,Human coronavirus OC43,1,5,7/3 21:10,7/4 22:02,24:52,SC2 N/A
Equipment room,Sharpova,IB000010006678_S61_L001,SARS-CoV-2,1,6,7/3 21:10,7/4 22:02,24:52,SC2 N/A
Equipment room,Sharpova,IB000010006678_S61_L001,Coxsackievirus,1,1,7/3 21:10,7/4 22:02,24:52,SC2 N/A
Hallway,Rybakina,IB000010006965_S60_L001,Merkel cell polyomavirus,22,351,7/4 14:30,7/4 22:01,7:31,SC2+
Hallway,Rybakina,IB000010006965_S60_L001,Rhinovirus,3,27,7/4 14:30,7/4 22:01,7:31,SC2+
Hallway,Rybakina,IB000010006965_S60_L001,Human coronavirus OC43,1,10,7/4 14:30,7/4 22:01,7:31,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Merkel cell polyomavirus,140,2117,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Epstein-Barr virus,113,120,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Human papillomavirus,41,74,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,SARS-CoV-2,5,25,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Herpes simplex virus 1,5,145,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Cytomegalovirus,2,12,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Rhinovirus,1,1,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,JC polyomavirus,1,30,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 1,Jabeur,IB000010006975_S58_L001,Molluscum contagiosum virus,1,1,7/4 11:20,7/4 21:38,10:18,SC2+
Meal room 2,Sabalenka,IB000010006974_S62_L001,Merkel cell polyomavirus,13,323,7/4 14:32,7/4 21:37,7:05,
Meal room 2,Sabalenka,IB000010006974_S62_L001,SARS-CoV-2,7,74,7/4 14:32,7/4 21:37,7:05,
Physio room 1,Kerber,IB000010006980_S57_L001,Merkel cell polyomavirus,17,521,7/4 11:21,7/4 21:40,10:19,SC2-
Physio room 2,Barty,IB000010006962_S59_L001,Merkel cell polyomavirus,278,8169,7/3 21:07,7/4 21:59,24:52,
Physio room 2,Barty,IB000010006962_S59_L001,Human papillomavirus,3,49,7/3 21:07,7/4 21:59,24:52,
Physio room 2,Barty,IB000010006962_S59_L001,Herpes simplex virus 1,1,29,7/3 21:07,7/4 21:59,24:52,
Physio room 2,Barty,IB000010006962_S59_L001,Influenza A virus,1,6,7/3 21:07,7/4 21:59,24:52,
Physio room 2,Barty,IB000010006962_S59_L001,Human polyomavirus 6,1,11,7/3 21:07,7/4 21:59,24:52,
