city,target,week,value,source,metric
Los Angeles,covN2,2025-08-03,35.63480881115694,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-08-10,41.932915693267866,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-08-17,37.09835631341298,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-08-24,99.50461573767335,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-08-31,59.05452176623432,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-09-07,46.95664785133209,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-09-14,5.393134143019952,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-09-21,7.174089879676562,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-09-28,37.56862981142422,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-10-05,2.3031829843617295,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-10-12,8.416218737405552,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-10-19,12.599646361914528,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-10-26,6.103678060206953,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-11-02,4.06631394269984,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-11-09,3.032053277801845,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-11-16,6.996415882118305,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-11-23,6.499171431804783,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-11-30,8.45399981967285,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-12-07,14.84303436078796,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-12-14,0.3039955425219528,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-12-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2025-12-28,2.991585993722031,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-01-04,12.290180224317227,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-01-11,5.282041687015108,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-01-18,17.91972472391787,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-01-25,6.648688434306579,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-02-01,5.247400448670004,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-02-08,1.5165990068013946,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-02-15,3.5689755587635794,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-02-22,8.52603678417239,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-03-01,5.956072682487989,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-03-08,1.802539018323017,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-03-15,0.7857057592687838,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-03-22,1.7680763720994417,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-03-29,1.6192298948555077,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-04-05,1.2203810098668428,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-04-12,0.8102760098123724,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-04-19,2.4659356486767448,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-04-26,1.2874831474532311,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-05-03,1.136225730565873,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
